author,statement,source,date,target
Tom Kertscher,"Eating grapefruit, “if you're on antidepressants,” can “cause a fatal overdose.”",Facebook posts,"December 21, 2021",false
Vivian Lam,"""Electromagnetic radiation from wireless technologies, including and especially 5G, can cause the same symptoms as COVID-19!""",Bloggers,"December 21, 2021",false
Bill McCarthy,"Says Kellogg’s tweeted, “Oh, so you think it's cool when workers strike jobs? Now replace 'jobs' with 'women.' Still think it's 'cool'?""",Facebook posts,"December 21, 2021",false
Tom Kertscher,“They've now killed close to twice as many kids from the vaccine as have died from COVID.”,Steve Kirsch,"December 21, 2021",pants-fire
Tom Kertscher,"The omicron variant of COVID-19 “came out” in 2021, but “the copyright on this book” about the variant is 2020.",Facebook posts,"December 20, 2021",false
Bill McCarthy,“Maybe they’re just calling the common cold … the omicron variant.”,Facebook posts,"December 20, 2021",false
Jon Greenberg,"The expanded child tax credit in the Build Back Better Act has “no means testing,” so people making $200,000 and $400,000 would get “the same as someone making” $70,000.",Joe Manchin,"December 20, 2021",barely-true
Luiz Romero,“Moderna patent uncovers horror nanocensor contained in bioweapon.”,Facebook posts,"December 20, 2021",false
Ciara O'Rourke,“Obama certificate a fake.”,Bloggers,"December 20, 2021",pants-fire
Ciara O'Rourke,It’s a myth that autism is genetic.,Viral image,"December 20, 2021",false
Becca Schimmel,"“Dr. Ugur Sahin, CEO of BioNTech and inventor of the BIO N TECH Pfizer jab, refuses to take the jab for safety reasons.”",Facebook posts,"December 20, 2021",false
Jill Terreri,"“Voter ID is supported by an overwhelming majority of NYers, from all across the state, walks of life, & political parties.”",Lee Zeldin,"• December 18,",mostly-true
Ciara O'Rourke,"“Dying nurse on deathbed claims she swapped more than 5,000 babies for ‘fun.’”",Viral image,"December 17, 2021",pants-fire
Bill McCarthy,“Boy passes Joe Biden a vial of fresh blood to drink on his way back to the White House”,Tweets,"December 17, 2021",pants-fire
Ciara O'Rourke,“Santa Claus arrested by German police for not wearing a mask.”,Bloggers,"December 17, 2021",false
Ciara O'Rourke,“McDonald’s puts aborted baby fetuses in their food.”,Facebook posts,"December 17, 2021",false
Ciara O'Rourke,“Dr. Fauci opens up the possibility that the COVID-19 vaccine could be making people more likely to be infected by the virus.”,Viral image,"December 17, 2021",false
Ciara O'Rourke,Photo shows “the jabbed and the unjabbed … separated with a fence in a supermarket” in Germany.,Viral image,"December 17, 2021",false
Samantha Putterman,Microsoft and Bill Gates created a 1999 video game called “Omikron.”,Facebook posts,"December 17, 2021",false
Lyle Muller,Chuck Grassley was “voting to slash Medicare” when voting against the debt ceiling bill.,Abby Finkenauer,"December 16, 2021",half-true
Jeff Cercone,Soft-tissue cancer diagnoses have “climbed through the roof” in 2021 as a result of COVID-19 vaccines.,Facebook posts,"December 16, 2021",false
Tom Kertscher,“They've planned this” COVID-19 “pandemic all along!”,Facebook posts,"December 16, 2021",pants-fire
Monique Curet,A video from British public broadcaster BBC shows the network was part of a 9/11 conspiracy.,Instagram posts,"December 16, 2021",false
Amy Sherman,"Rep. Kathy Castor, D-Fla., is a communist",Hillsborough County Republican Executive Committee,"December 15, 2021",pants-fire
Samantha Putterman,“California store owner prices all items at $951 so thieves can be prosecuted.”,Facebook posts,"December 15, 2021",false
Louis Jacobson,“I’ve been against that war in Afghanistan from the very beginning.”,Joe Biden,"December 15, 2021",false
Samantha Putterman,The COVID-19 vaccines cause AIDS.,Facebook posts,"December 15, 2021",pants-fire
Jill Terreri,"""2,809 Dead Babies in VAERS Following COVID Shots as New Documents Prove Pfizer, the FDA, and the CDC Knew the Shots Were Not Safe for Pregnant Women""",Bloggers,"• December 15,",false
Ciara O'Rourke,“The military’s actually been in charge since November 3rd.”,Facebook posts,"December 14, 2021",pants-fire
Laura Schulte,"Says Joe Biden “shut down travel from 8 countries in response to the Omicron variant, but he refuses to require a #COVID19 test for illegal immigrants crossing our Southern border.”",Glenn Grothman,"December 14, 2021",half-true
Warren Fiske,“Overdoses in Virginia (are) up 35%.”,John McGuire,"December 14, 2021",mostly-true
Jon Greenberg,“The CBO says (the Build Back Better Act) is $3 trillion of deficit spending.”,Lindsey Graham,"December 14, 2021",false
Tom Kertscher,“Wisconsin 2020 election investigation finds more illegal votes were cast than Biden's margin of victory.”,Facebook posts,"December 13, 2021",false
Ciara O'Rourke,Says Anthony Fauci “wants Americans to get 4 shots per year.”,Facebook posts,"December 13, 2021",false
Ciara O'Rourke,“Ivanka Trump is joining the Democrats to run against her dad.”,Facebook posts,"December 13, 2021",pants-fire
Monique Curet,"At Lions Gate Hospital in Vancouver, “13 babies were reportedly stillborn at the hospital in a period of 24 hours. All of their mothers had received a COVID-19 injection.”",Bloggers,"December 13, 2021",false
Ciara O'Rourke,"“Dr. Oz releases COPD gummies that help quit smoking, detox lungs and stop COPD.”",Facebook posts,"December 13, 2021",false
Madeline Heim,"Around the world, people who exercise their ""health autonomy"" and don't get vaccinated are being put ""basically into internment camps.""",Ron Johnson,"December 13, 2021",pants-fire
Tom Kertscher,"“Norway spends about $30,000 per child on early childhood care, Finland spends $23,000, Germany $18,000” and the U.S. $500.",Robert Reich,"December 10, 2021",mostly-true
Gabrielle Settles,"Deaths from vaccines have totaled 1,621 from Johnson & Johnson, 4,799 from Moderna, 13,039 from Pfizer and 73 from unknown vaccines. And this is an undercount because “only 1% of deaths are reported.”",Instagram posts,"December 10, 2021",false
Luiz Romero,German chemist Andreas Noack was “assassinated just hours after publishing the secret of the vax by government operatives.”,Facebook posts,"December 10, 2021",false
Samantha Putterman,The COVID-19 vaccine is the “deadliest vaccine ever made.”,"Robert F. Kennedy, Jr.","December 10, 2021",pants-fire
Ciara O'Rourke,Warnings about heart problems and blood clots in cold weather are to cover up COVID-19 vaccine side effects.,Facebook posts,"December 10, 2021",false
Ciara O'Rourke,“Hillary replaces Kamala Harris.”,Facebook posts,"December 10, 2021",pants-fire
Monique Curet,"""Canada joins the no jab, no food trend""",Facebook posts,"December 10, 2021",barely-true
Andy Nguyen,"The COVID-19 vaccines ""suppress the immune system"" and make people more susceptible to HIV, shingles and herpes.",Bloggers,"December 10, 2021",false
Duncan Slade,"The United States had 589 coal-fired plants 10 years ago, and “we're down to 504. … We are the only nation that has reduced our reliance (on) coal energy.""",Joe Manchin,"December 10, 2021",half-true
Jon Greenberg,The Build Back Better Act “includes $34.5 billion in cuts” for charity care funding to hospitals.,Rick Scott,"December 10, 2021",half-true
Tom Kertscher,"Society is “choosing blood clots and heart problems over cold and flu symptoms, or even no symptoms at all.”",Facebook posts,"December 10, 2021",false
Ciara O'Rourke,"The crew of the U.S.S. Constitution consumed more than 252,000 gallons of alcohol and only 10,000 gallons of water on a seven-month trip.",Viral image,"December 10, 2021",false
Ciara O'Rourke,“An organ recovery medical team pays tribute to a young female organ donor” in this photo.,Viral image,"December 10, 2021",barely-true
Monique Curet,"“The toxicity of COVID-Omicron is 5 times higher than that of the delta variant, and the mortality rate is also higher than that of Delta.”",Facebook posts,"December 9, 2021",false
Louis Jacobson,"""Over time there have been 160-some carve-outs to the filibuster.""",Amy Klobuchar,"December 9, 2021",mostly-true
Ciara O'Rourke,Ghislaine Maxwell’s co-defendants include Beyonce and Kanye West.,Viral image,"December 9, 2021",false
Monique Curet,Electric vehicles are more likely to fail in traffic jams.,Facebook posts,"December 9, 2021",false
Jeff Cercone,"""COVID-19 vaccines do not stop transmission of COVID, but instead increase it.”",Facebook posts,"December 9, 2021",false
PolitiFact Staff,"Gas prices were ""$1.86 when I left"" the White House.",Donald Trump,"December 8, 2021",false
Bill McCarthy,"A campaign poster for New Zealand Prime Minister Jacinda Ardern with the slogan, “No jab. No job, no refunds.”",Facebook posts,"December 8, 2021",false
Samantha Putterman,Says Vice President Kamala Harris called the unvaccinated “dirty Trump people.”,Instagram posts,"December 8, 2021",pants-fire
Ciara O'Rourke,“There’s only one reporter on site” at the Ghislaine Maxwell trial.,Facebook posts,"December 8, 2021",false
Ciara O'Rourke,“Trump was secretly inaugurated as president of the restored Republic.”,Facebook posts,"December 8, 2021",pants-fire
Ciara O'Rourke,Photo shows “a German mall separating the vaccinated and unvaccinated.”,Viral image,"December 8, 2021",false
Vivian Lam,"""Pathogens evolve to become less, not more, virulent over time” because otherwise, “they’d destroy their hosts which they depend on to live.”",Facebook posts,"December 8, 2021",false
Monique Curet,"“SHOCKING: In the wake of Austria’s drastic lockdown of unvaccinated people, EU chief calls for throwing out Nuremberg Code.”",Instagram posts,"December 7, 2021",pants-fire
Louis Jacobson,"“Even after accounting for rising prices, the typical American family has more money in their pockets than they did last year.”",Joe Biden,"December 7, 2021",mostly-true
Julie Appleby,"""An independent analysis shows that payments for cancer care will be slashed by close to 45% causing cancer clinics to close and massively raising your healthcare costs.”",Community Oncology Alliance,"December 7, 2021",half-true
Madison Czopek,“Only the fully vaccinated should fear the new ‘worst ever’ Covid-19 variant; data shows they already account for 4 in every 5 Covid deaths”,Bloggers,"December 7, 2021",false
Ciara O'Rourke,A video shows people in Romania protesting COVID-19 vaccines.,Viral image,"December 7, 2021",false
Ciara O'Rourke,Says Boris Johnson faked getting his booster shot.,Viral image,"December 7, 2021",false
Ciara O'Rourke,Says Prince Harry and Meghan Markle’s baby doesn’t exist.,Facebook posts,"December 7, 2021",false
Gabrielle Settles,Image shows Donald Trump’s new Christmas card.,Viral image,"December 6, 2021",pants-fire
Monique Curet,"A Canary Islands volcano eruption could lead to a mega tsunami in the U.S., with a 160-foot wave and no warnings.",Facebook posts,"December 6, 2021",false
Jeff Cercone,"""Tap water is testing positive for COVID!”",Tweets,"December 6, 2021",false
Monique Curet,"“On the first day of the Ghislaine Maxwell trial, the CEO of Twitter resigned, the CEO of Walmart resigned, the CEO of CNBC resigned”",Facebook posts,"December 4, 2021",barely-true
Tom Kertscher,COVID-19 vaccines are gene therapy and a recent Forbes article proves that.,Instagram posts,"December 3, 2021",false
Jon Greenberg,“I used to drive a tractor trailer … I only did it for part of a summer.”,Joe Biden,"December 3, 2021",false
Louis Jacobson,The House-passed Build Back Better bill is a “government takeover of child care.”,Kevin McCarthy,"December 3, 2021",false
Bill McCarthy,"""If you look pre-COVID"" under President Donald Trump, ""we didn't import a single barrel of oil from Saudi Arabia.”",Sean Hannity,"December 2, 2021",false
Louis Jacobson,"""The number of small businesses is up 30% compared to before the pandemic.""",Joe Biden,"December 2, 2021",false
Tom Kertscher,"Because of omicron, “the Biden administration has decided to leave the U.S. southern border completely open.”",The Gateway Pundit,"December 2, 2021",false
Monique Curet,“Federal magistrate approves $110 million defamation suit against LeBron James by Kyle Rittenhouse.”,Facebook posts,"December 2, 2021",pants-fire
Becca Schimmel,A chart shows China and India are leading in per capita carbon dioxide emissions.,Facebook posts,"December 2, 2021",half-true
Tom Kertscher,Heart complications are one symptom “listed” for the omicron variant and are being “used to cover up effects” of COVID-19 vaccines.,Bloggers,"December 2, 2021",false
Bill McCarthy,"""Don’t be fooled by the next ‘Variant’! There are actually 1000’s of them. They just will pick the next one to keep the fear going.""",Facebook posts,"December 1, 2021",barely-true
Monique Curet,Black Friday originated in 1904 when enslaved people were sold at a discount to boost the economy.,Facebook posts,"December 1, 2021",false
Monique Curet,“BREAKING: Judge in Ghislaine Maxwell trial issues media-wide gag order: all press & spectators barred from courtroom.”,Facebook posts,"December 1, 2021",false
Jon Greenberg,“39 out of 42 (countries) in Europe have more restrictive abortion laws” than Mississippi.,Tate Reeves,"December 1, 2021",half-true
Tom Kertscher,"Low gas prices in Russia, Kuwait and Saudi Arabia show that Joe Biden’s decision to cancel the Keystone Pipeline project is to blame for U.S. prices.",Facebook posts,"December 1, 2021",false
Ciara O'Rourke,“Kyle Rittenhouse files $400 million suit against CNN!”,Viral image,"December 1, 2021",false
Monique Curet,"“If you were in the military before 2002 you get an additional $1,200 a year, ($100 per month) in Social Security. But you have to ask for it and almost no one knows about it.”",Facebook posts,"December 1, 2021",barely-true
Ciara O'Rourke,Says Virgil Abloh was a defendant in Ghislaine Maxwell’s criminal case when he died a day before the trial started.,Viral image,"December 1, 2021",false
Ciara O'Rourke,Video shows child shouting an expletive at Jill Biden.,Viral image,"December 1, 2021",pants-fire
Kayla Steinberg,Athletes are collapsing with heart-related issues due to the COVID-19 vaccines,Bloggers,"December 1, 2021",false
Ciara O'Rourke,A photo shows Jeffrey Epstein with Joe Biden.,Viral image,"December 1, 2021",false
Monique Curet,“Malcolm X’s daughter found dead in NYC days after she exposed NYPD and FBI were behind Malcolm X assassination”,Facebook posts,"December 1, 2021",barely-true
Tom Kertscher,Vaccinated people under 60 in England “are dying at twice the rate of unvaccinated people the same age. ... I don’t know how to explain this other than vaccine-caused mortality.”,Alex Berenson,"November 30, 2021",barely-true
Ciara O'Rourke,“Only Reuters” reported that the doctor who detected the omicron variant said its symptoms are “very mild.”,Viral image,"November 30, 2021",false
Monique Curet,"“COVID death rates 4 to 1, vaccinated to unvaxxed”",Bloggers,"November 30, 2021",false
Ciara O'Rourke,We know in November 2021 that “none of your previous vaccines will protect you now from the emerging variant omicron.”,Facebook posts,"November 30, 2021",false
Laura Schulte,"“Within two years, there were two 500-year (storm) events” in Wisconsin.",Tammy Baldwin,"November 30, 2021",mostly-true
Jeff Cercone,Omicron 'hysteria' was timed so that it would coincide with and distract from the Ghislaine Maxwell trial.,Facebook posts,"November 30, 2021",pants-fire
Ciara O'Rourke,The omicron variant’s name is evidence the coronavirus pandemic is a hoax.,Viral image,"November 30, 2021",false
Ciara O'Rourke,"Says a Vox headline said, “teaching children the Bunny Ear method for tying their shoes” is racist.",Viral image,"November 30, 2021",false
Nusaiba Mizan,"""U.S. households are on track to spend $19 billion more on energy by 2030.""",Roger Williams,"November 30, 2021",half-true
Ciara O'Rourke,“Celine Dion has been paralyzed by the COVID vaccine and cancels her tour.”,Viral image,"November 29, 2021",false
Andy Nguyen,"""Nancy Pelosi just bought a 11,000 square foot $25 million mansion in Florida.""",Facebook posts,"November 29, 2021",false
Ciara O'Rourke,“Kyle Rittenhouse files a $60 million lawsuit against Joy Behar and Whoopi Goldberg.”,Viral image,"November 29, 2021",false
Ciara O'Rourke,Photo shows people recently protesting in Austria.,Viral image,"November 29, 2021",false
Jill Terreri,"“This one here has subsidies for people making as much as $800,000 to be able to buy a Tesla.”",Chris Jacobs,"• November 26,",barely-true
Laura Schulte,Kyle Rittenhouse was an “armed person” crossing state lines when he came to Kenosha protests in 2020.,Jerrold Nadler,"November 26, 2021",false
Tom Kertscher,“The gas station where they initially attacked” Kyle Rittenhouse “is owned by his grandparents.”,Facebook posts,"November 24, 2021",false
Naseem Ferdowsi,“Vitamin D levels of 50 ng/mL correlates to zero mortality rate from COVID.”,Instagram posts,"November 24, 2021",false
Vivian Lam,"""Fauci admits Covid vax doesn't work""",Alex Jones,"November 23, 2021",false
Tom Kertscher,The Build Back Better bill provides “'parole' amnesty for millions of criminal illegal aliens.”,Viral image,"November 23, 2021",barely-true
Monique Curet,"The FBI targeted a woman and searched her home because she “protested local school board, elections.”",Bloggers,"November 23, 2021",barely-true
Phil Galewitz,An increase in Medicare Part B premiums means “America’s seniors are paying the price for Biden’s inflation crisis.”,Rick Scott,"November 23, 2021",barely-true
Nusaiba Mizan,"""You've had over 2 million women drop out of the workforce during this pandemic.""",Colin Allred,"November 23, 2021",mostly-true
Vivian Lam,"""Spike protein goes to nucleus and impairs DNA repair.""",Bloggers,"November 23, 2021",half-true
Madeline Heim,“Wisconsin is almost equally divided on partisan lines” and therefore new Legislative maps could be drawn to “represent that 50-50 split.”,Janet Bewley,"November 23, 2021",barely-true
Monique Curet,"The media televised the trial of Kyle Rittenhouse “because he is a ‘white supremacist shooter,’” while limiting coverage of accused sex trafficker Ghislaine Maxwell’s trial to “some cartoon drawing….What are they hiding?”",Facebook posts,"November 22, 2021",barely-true
Samantha Putterman,The Vatican owns a telescope called Lucifer.,Facebook posts,"November 22, 2021",false
Andy Nguyen,President Joe Biden will “control health care costs by slapping a 95% tax on prescription drugs.”,Facebook posts,"November 22, 2021",false
Lauren White,"Ashley Hinson’s and Mariannette Miller-Meeks’ no votes on the infrastructure bill are ""denying rural Iowa broadband internet.""",Dave Loebsack,"November 22, 2021",half-true
Madison Czopek,“The FBI is using its counterterrorism division to investigate and add ‘threat tags’ to parents who are protesting school boards.”,Facebook posts,"November 19, 2021",barely-true
Jon Greenberg,“If you or your family spends $28 a day — prepare to be under constant audit by the IRS.”,Kevin McCarthy,"November 19, 2021",false
Bill McCarthy,Photos showed “bricks everywhere” in Kenosha during the Kyle Rittenhouse trial.,Facebook posts,"November 19, 2021",false
Monique Curet,“German News Agency Tracks 75 Prominent Athletes Suddenly Dead Of Heart Attacks After COVID Vax”,Bloggers,"November 19, 2021",false
Jill Terreri,"New York is ""leading the nation with the lowest imprisonment rate of any large state”",NYS Department of Corrections and Community Supervision,"• November 19,",true
Ciara O'Rourke,COVID-19 vaccines contain luciferase.,Bloggers,"November 19, 2021",false
Ciara O'Rourke,A photo shows Kyle Rittenhouse wearing a “Klan outfit.”,Viral image,"November 19, 2021",pants-fire
Jill Terreri,“Biden’s banking nominee demands all ‘private bank accounts’ be eliminated”,Bloggers,"• November 19,",barely-true
Louis Jacobson,“Never in American history has so much been spent at one time. Never in American history will so many taxes be raised and so much borrowing be needed to pay for this reckless spending.”,Kevin McCarthy,"November 19, 2021",false
Jeff Cercone,Says Bill Gates is linked to the discovery of vials labeled “smallpox” at Pennsylvania lab.,Facebook posts,"November 19, 2021",false
Ciara O'Rourke,“Trump in the White House!”,Facebook posts,"November 18, 2021",pants-fire
Ciara O'Rourke,The military took over the mainstream media.,Facebook posts,"November 18, 2021",pants-fire
Ciara O'Rourke,“Military arrests former President George W. Bush.”,Viral image,"November 18, 2021",pants-fire
Paul Specht,"“We need filibuster reform, and I’ve always been very clear about that.”",Cheri Beasley,"November 18, 2021",barely-true
Monique Curet,"Says Raz Simone “conquered” part of Seattle, handed out guns to form a paramilitary force that murdered three people, robbed the locals and walked away without being questioned.",Facebook posts,"November 18, 2021",barely-true
Louis Jacobson,“No economist out there is projecting that (the Build Back Better bill) will have a negative impact on inflation.”,Jen Psaki,"November 18, 2021",false
Becca Schimmel,Keystone Pipeline was blocked by Obama on Warren Buffett’s behalf.,Facebook posts,"November 18, 2021",false
Ciara O'Rourke,“NAVY SEALs raid cargo ship full of smuggled children.”,Viral image,"November 18, 2021",pants-fire
Ciara O'Rourke,"Unleaded gas costs nearly $7 in Lancaster, Calif.",Viral image,"November 18, 2021",false
Lyle Muller,"""Only one member of Iowa’s federal delegation"" voted in favor of the bipartisan infrastructure legislation.",Progress Iowa,"November 18, 2021",false
D.L. Davis,"""Only a court can decide that somebody is incompetent to vote"" -- the state Election Commission ""cannot force facilities, private facilities, to allow special voting deputies"" inside.",Meagan Wolfe,"November 18, 2021",mostly-true
Ciara O'Rourke,Says Kamala Harris said only vaccinated people are hospitalized and dying from COVID-19.,Viral image,"November 17, 2021",pants-fire
Samantha Putterman,"""Bill Gates just admitted that the Pfizer and Moderna mRNA vaccines don’t work well.""",Tweets,"November 17, 2021",false
Monique Curet,The COVID-19 vaccines “failed miserably” in animal trials and are “a type of gene therapy that several top scientists warn will kill you.”,TikTok posts,"November 17, 2021",false
Ciara O'Rourke,“Close to hundreds” of people died at Astroworld.,Viral image,"November 17, 2021",false
Monique Curet,"“500 National Guardsmen being called to Kenosha ahead of the Rittenhouse verdict. Had they done this in the first place, there wouldn’t have been a trial.”",Facebook posts,"November 17, 2021",false
Jeff Cercone,A Kansas City tourism sign had a terrible typo.,Facebook posts,"November 17, 2021",false
Samantha Putterman,"A new Facebook/Meta rule allows the company to use people’s photos without their permission, and posting a notice on your page will stop it from doing so.",Facebook posts,"November 17, 2021",pants-fire
Tom Kertscher,"Timothy Simpkins, a Black teen shooter, got 1 day in jail and $75,000 bail, while Kyle Rittenhouse, a white teen, got 2 months in jail and $2 million bail. “I think it’s pretty evident ... that white privilege is a myth.”",Viral image,"November 17, 2021",half-true
Ciara O'Rourke,“Disturbing Pfizer ad tells kids they’ll get superpowers from COVID jab.”,Bloggers,"November 16, 2021",false
Monique Curet,"A new medical diagnosis code has been designated for people who decline vaccines, and it will be used to help determine who will go into ""education camps.""",Facebook posts,"November 16, 2021",false
Monique Curet,Actor Macaulay Culkin died from a heroin overdose.,TikTok posts,"November 16, 2021",pants-fire
Gabrielle Settles,"""In 2015, when Terry McAuliffe was governor, the Virginia Department of Education promoted incorporating critical race theory lens in education...They were trying to indoctrinate kids.”",Rick Scott,"November 16, 2021",barely-true
Luiz Romero,“Stalin once ripped all the feathers off a live chicken as a lesson to his followers.”,Facebook posts,"November 16, 2021",false
Tom Kertscher,Kyle Rittenhouse’s mother “drove him across state lines and dropped him off in the middle of a riot armed with an assault rifle” in Kenosha.,Viral image,"November 15, 2021",false
Tom Kertscher,"""Children are 50 times more likely to be killed by the Covid vaccines than by the virus itself.""",Viral image,"November 15, 2021",pants-fire
Nusaiba Mizan,"Over a million people apprehended at the border this year, ""meaning probably another 2 or 3 million have come in illegally.""",Dan Patrick,"November 15, 2021",half-true
Madison Czopek,“Wife of Pfizer’s CEO dies after complications from the vaccine.”,Conservative Beaver,"November 15, 2021",pants-fire
Monique Curet,Video shows irate airline passenger demanding a seat away from an unvaccinated passenger and being asked to leave the airplane.,Facebook posts,"November 15, 2021",false
Warren Fiske,“The infrastructure bill itself is only 10% true infrastructure.”,Bob Good,"November 15, 2021",pants-fire
Jeff Cercone,Scam artists are using Amazon to send people face masks laced with “something toxic.”,Facebook posts,"November 12, 2021",false
Eleanor Hildebrandt,"“Iowa ranks 45th in the U.S. for internet connectivity.""",Cindy Axne,"November 12, 2021",true
Vivian Lam,"""Report finds increased risk of spontaneous abortion following COVID-19 vaccination during pregnancy” after correcting “major error” in CDC study.",Bloggers,"November 12, 2021",false
Laura Schulte,"Says President Joe Biden “is in talks to pay illegal immigrants $450,000.”",Bryan Steil,"November 12, 2021",half-true
Jill Terreri,"No new COVID-19 cases in Uttar Pradesh, India, due to use of ivermectin",Facebook posts,"• November 12,",false
Warren Fiske,“No governor in Virginia has ever won when...he or she is the same party as the sitting president.”,Joe Biden,"November 12, 2021",false
Louis Jacobson,"""During the AIDS crisis, can you imagine if gay men and intravenous drug users … had they been pariahs the way the non-vaccinated are? But it would've been inconceivable.""",Dennis Prager,"November 11, 2021",pants-fire
Tom Kertscher,"""There is no added safety to the public if you're vaccinated.""",Viral image,"November 11, 2021",pants-fire
Gabrielle Settles,The military arrested “bedridden Gavin Newsom.”,Bloggers,"November 11, 2021",pants-fire
D.L. Davis,"“If you’re a low-wage worker and you’re single and don’t have children, we’re literally taxing you into poverty.""",Gwen Moore,"November 11, 2021",mostly-true
Monique Curet,“Gavin Newsom is out of sight likely because he has Guillain-Barre syndrome from his booster shot.”,Steve Kirsch,"November 10, 2021",false
Samantha Putterman,"""Italy drastically reduced the country’s official COV1D-19 death count by over 97%. This means Covid killed fewer people than an average seasonal flu.”",Facebook posts,"November 10, 2021",false
Kayla Steinberg,“Sending your child to school” on a day when vaccines are being administered “is implied consent” for getting the COVID-19 vaccine.,Infowars,"November 10, 2021",false
Monique Curet,"Live Nation scheduled the 50,000-person Astroworld music festival at a venue that has a capacity of 20,000.",Facebook posts,"November 10, 2021",false
Jeff Cercone,"""Arizona Department of Education gives green light on face mask and vaccine mandates, as well as implementing Critical (Race) Theory.”",Instagram posts,"November 10, 2021",barely-true
Tom Kertscher,Photos show “diesel generators” at the COP26 climate change conference.,Tweets,"November 10, 2021",false
Louis Jacobson,"The Biden administration inherited gains of “50,000 jobs a month. We're now finally back to 500,000 jobs a month. We inherited a country where 4,000 people a day were dying from Covid. That's now down 75%.”",Ron Klain,"November 10, 2021",half-true
Ciara O'Rourke,"A banner for COVID-19 vaccines says, “Don’t forget to donate your childrens organs.”",Viral image,"November 10, 2021",false
Ciara O'Rourke,“Queen Elizabeth d-e-a-d at age 95.”,Facebook posts,"November 10, 2021",false
Monique Curet,President Joe Biden threatened to “swoop down with Special Forces folks and gather up every gun in America.”,Facebook posts,"November 9, 2021",false
Samantha Putterman,“More fraud in New Jersey’s election uncovered – voting machines would not allow citizens to vote for Republican governor candidate.”,Bloggers,"November 9, 2021",barely-true
Monique Curet,A crime was committed when a New Jersey election worker allowed someone who said he was not a citizen to fill out a ballot.,Project Veritas,"November 9, 2021",false
Samantha Putterman,Merriam-Webster recently changed its definition of the word “vaccine” and removed the immunity portion.,Facebook posts,"November 9, 2021",barely-true
Emily Zirkelbach,“FUN FACT: West Virginia is home to zero billionaires.”,David Gura,"November 9, 2021",true
Ciara O'Rourke,The deaths at the Astroworld festival were part of a satanic ritual.,Facebook posts,"November 9, 2021",pants-fire
Ciara O'Rourke,“Australian military being trained to **force vaccinate** in door-to-door attacks.”,Bloggers,"November 9, 2021",false
Madeline Heim,The Biden Department of Justice “would use the FBI to target parents who speak out against critical race theory.”,Rebecca Kleefisch,"November 9, 2021",false
Louis Jacobson,"In the infrastructure bill that just passed the House, “only 10% is actual infrastructure.”",Lisa McClain,"November 8, 2021",pants-fire
Tom Kertscher,“Fox News went from 97% reporting to 94% in Virginia. The fraud is so blatant it's not funny anymore.”,Tweets,"November 8, 2021",false
Jeff Cercone,"""Atheists are prohibited from holding office in 8 states.”",Facebook posts,"November 8, 2021",half-true
Monique Curet,"“Pfizer Confirms COVID-Vaccinated People Can ‘Shed’ Spike Proteins And Harm The Unvaccinated""",Bloggers,"November 8, 2021",false
Gabrielle Settles,"""This idea that it's the pandemic of the unvaccinated, it's just a total lie.""",Aaron Rodgers,"November 8, 2021",false
Paul Specht,Says N.C. Attorney General Josh Stein has gone after Jan. 6 protesters but he has “said nothing” about violent summer protests in North Carolina and was “derelict in his duty.”,Mark Robinson,"November 8, 2021",barely-true
Samantha Putterman,"The Astroworld concert was a “test run on the vaxxed” because people who are injected with graphene oxide can be controlled through magnetic frequencies, including music.",Facebook posts,"November 8, 2021",false
Tom Kertscher,"United Kingdom “government reports suggest the fully vaccinated are rapidly developing Acquired Immunodeficiency Syndrome.""",Bloggers,"November 8, 2021",false
Ciara O'Rourke,"“CEO of Pfizer arrested, charged with fraud.”",Bloggers,"November 8, 2021",pants-fire
Monique Curet,"Dr. Herbert Smitherman invented Crest toothpaste, Folgers coffee, Safeguard soap and Bounce fabric softener.",Facebook posts,"November 8, 2021",false
Ciara O'Rourke,Bergen County in New Jersey gave more votes to the Democratic gubernatorial candidate after all the ballots were counted.,Viral image,"November 5, 2021",false
Luiz Romero,"“The Spanish High Court has announced (COVID-19) is a bio weapon with a patent, not a virus.”",Facebook posts,"November 5, 2021",false
Becca Schimmel,“Scientists say this map represents the US in 30 years if we don’t reverse climate change.”,Facebook posts,"November 5, 2021",false
Samantha Putterman,“Trash bins discovered outside the Gloucester County Board of Elections containing blank ballots as well as bags of shredded ballots from Tuesday’s election!”,Facebook posts,"November 5, 2021",false
Ciara O'Rourke,"“The day Al Gore was born there were 130,000 glaciers on Earth. Today, only 130,000 remain.”",Viral image,"November 5, 2021",false
Monique Curet,"""Elon Musk to donate $250 billion for reparations to African Americans in U.S.""",Instagram posts,"November 5, 2021",pants-fire
Gabrielle Settles,A video shows “your packages were rerouted and have arrived in the port of Miami” as a result of Gov. Ron DeSantis.,Instagram posts,"November 5, 2021",barely-true
Madison Czopek,The premier of Australia’s Victoria state “is freezing people’s bank accts” if they are not vaccinated. “They can’t buy or sell until forced into submission.”,Facebook posts,"November 4, 2021",false
Jill Terreri,Product shortages are manufactured; goods are stuck in warehouses.,TikTok posts,"• November 4,",pants-fire
Monique Curet,"“Moderna has been pulled in Iceland and pulled for everyone under age 30 in Finland, Sweden, Norway, Denmark due to heart issues.”",Facebook posts,"November 4, 2021",false
